"symbols","sortino_ratio"
"CI",27.533
"LIN",8.801
"CLX",5.098
"JNJ",4.887
"AME",4.382
"HIG",3.351
"MMM",3.113
"WAB",2.526
"PAYX",2.4
"IBKR",2.296
"ADSK",2.292
"KMB",2.195
"V",2.162
"WDAY",2.08
"SPGI",1.882
"RJF",1.872
"CAH",1.749
"ACWI",1.712
"TTWO",1.704
"VEEV",1.557
"IBM",1.535
"MCD",1.491
"EXPE",1.384
"CNI",1.304
"DFS",1.29
"SPG",1.268
"CPT",1.244
"GEV",1.221
"MRK",1.186
"CB",1.182
"ALL",1.119
"CL",1.092
"PM",1.043
"GD",0.942
"GE",0.931
"BLDR",0.872
"PLD",0.872
"LPLA",0.797
"QRVO",0.791
"ETN",0.75
"WELL",0.747
"TT",0.737
"PG",0.721
"LMT",0.718
"NSC",0.707
"QCOM",0.702
"RTX",0.671
"GDDY",0.66
"ETR",0.647
"GS",0.644
"ENTG",0.64
"QQQM",0.638
"JBHT",0.624
"ISRG",0.618
"KLAC",0.618
"GTLS",0.607
"MMC",0.594
"AMGN",0.564
"TJX",0.549
"PRU",0.543
"NXPI",0.536
"AVGO",0.502
"HD",0.468
"TMUS",0.46
"CEG",0.455
"ARM",0.449
"FSLR",0.442
"META",0.408
"ODFL",0.383
"ABNB",0.378
"IRM",0.37
"NUE",0.363
"CROX",0.349
"ASML",0.348
"ADP",0.34
"BX",0.34
"BURL",0.338
"ANET",0.337
"ITW",0.329
"ABBV",0.323
"KEYS",0.322
"FERG",0.31
"BA",0.294
"IQV",0.286
"SMCI",0.282
"CVX",0.279
"KKR",0.279
"ADI",0.269
"MSFT",0.263
"PEP",0.216
"LLY",0.215
"UNP",0.212
"BRO",0.208
"MCK",0.206
"TOL",0.188
"STZ",0.185
"MA",0.184
"AFL",0.178
"PODD",0.171
"TSCO",0.17
"RCL",0.169
"TMDX",0.169
"SHAK",0.164
"CCI",0.163
"FTAI",0.152
"XPO",0.151
"SHW",0.15
"ZBH",0.147
"SWKS",0.141
"DKS",0.131
"AWK",0.128
"NTAP",0.123
"NTRA",0.123
"APO",0.122
"DLR",0.117
"TGT",0.117
"ELF",0.115
"HUM",0.105
"IEI",0.101
"DDOG",0.098
"COR",0.096
"TMO",0.096
"SCCO",0.095
"TRV",0.091
"APD",0.088
"MAR",0.083
"ICE",0.081
"STLD",0.08
"VMC",0.079
"PANW",0.074
"DASH",0.073
"DEO",0.073
"ACGL",0.07
"BRK-B",0.068
"HCA",0.066
"FDX",0.065
"GOOG",0.065
"COST",0.062
"CDNS",0.061
"ARES",0.059
"ESTC",0.058
"UPS",0.05
"AKAM",0.049
"PSX",0.049
"GOOGL",0.044
"CME",0.039
"ENPH",0.038
"ULTA",0.035
"WSM",0.034
"MPC",0.033
"JBL",0.031
"PHM",0.031
"LNG",0.029
"WM",0.027
"NOW",0.026
"ROST",0.024
"INTU",0.023
"DRI",0.022
"ARE",0.02
"MDB",0.02
"SOXX",0.019
"FLUT",0.014
"TXN",0.014
"BDX",0.013
"MAA",0.013
"NBIX",0.013
"GPN",0.012
"ADBE",0.011
"SRPT",0.011
"CRM",0.01
"DTE",0.007
"LULU",0.006
"DHR",0.004
"A",0.003
"NVO",0.003
"PPG",0.002
"PGR",0.001
"LOW",-0.001
"ZS",-0.001
"ACN",-0.002
"ORCL",-0.002
"CDW",-0.003
"CRWD",-0.003
"HON",-0.003
"UNH",-0.003
"ZTS",-0.003
"CAT",-0.004
"PNC",-0.004
"RMD",-0.004
"XOM",-0.005
"DE",-0.006
"TSM",-0.007
"AXP",-0.008
"JPM",-0.01
"MSTR",-0.01
"THC",-0.01
"CBRE",-0.011
"MTB",-0.011
"TEL",-0.016
"NFLX",-0.018
"VLTO",-0.018
"COF",-0.02
"ABT",-0.021
"HLT",-0.021
"DHI",-0.022
"CVNA",-0.024
"TER",-0.026
"ECL",-0.027
"ANF",-0.028
"FND",-0.028
"XYL",-0.029
"COP",-0.031
"EA",-0.033
"TRGP",-0.033
"SMH",-0.036
"ED",-0.039
"EOG",-0.04
"LRCX",-0.04
"TROW",-0.046
"LEN",-0.047
"EXPD",-0.048
"VRTX",-0.053
"AMAT",-0.055
"AMT",-0.057
"SNOW",-0.065
"EMR",-0.074
"GRMN",-0.076
"DUK",-0.083
"SJM",-0.092
"HES",-0.099
"CHTR",-0.1
"CHD",-0.106
"HSY",-0.133
"VLO",-0.136
"IBB",-0.143
"TEAM",-0.153
"YUM",-0.153
"DG",-0.181
"BIIB",-0.183
"FANG",-0.186
"CHRD",-0.194
"SNPS",-0.229
"SPOT",-0.231
"ILMN",-0.249
"COIN",-0.432
"FI",NA
"NVS",NA
"RY",NA
"SHV",NA
"SYK",NA
